order_id,sales,profit,profit_ratio,discount
CA-2015-100006,378,110,"0,29",0
CA-2015-100090,197,69,"0,35","0,2"
CA-2015-100090,502,-88,"-0,18","0,2"
CA-2015-100293,91,32,"0,35","0,2"
CA-2015-100328,4,1,"0,34","0,2"
CA-2015-100363,2,1,"0,35","0,2"
CA-2015-100363,19,7,"0,36","0,2"
CA-2015-100391,15,7,"0,46",0
CA-2015-100678,3,1,"0,38","0,2"
CA-2015-100678,149,50,"0,34","0,2"
CA-2015-100678,228,28,"0,13","0,2"
CA-2015-100678,317,-18,"-0,06","0,3"
CA-2015-100706,29,10,"0,33",0
CA-2015-100706,100,8,"0,08",0
CA-2015-100762,16,8,"0,5",0
CA-2015-100762,144,69,"0,48",0
CA-2015-100762,152,46,"0,3",0
CA-2015-100762,197,96,"0,49",0
CA-2015-100860,19,9,"0,48",0
CA-2015-100867,322,20,"0,06","0,2"
CA-2015-100881,302,23,"0,08","0,2"
CA-2015-100895,9,3,"0,31",0
CA-2015-100895,240,67,"0,28",0
CA-2015-100895,357,107,"0,3",0
CA-2015-100916,3,1,"0,31",0
CA-2015-100916,195,10,"0,05",0
CA-2015-100916,591,112,"0,19",0
CA-2015-100972,166,80,"0,48",0
CA-2015-101147,2,-6,"-2,65","0,8"
CA-2015-101175,101,-1,"-0,01","0,2"
CA-2015-101266,13,6,"0,48",0
CA-2015-101364,297,100,"0,34","0,2"
CA-2015-101392,269,70,"0,26",0
CA-2015-101427,8,1,"0,14","0,2"
CA-2015-101462,60,28,"0,46",0
CA-2015-101476,70,30,"0,43",0
CA-2015-101560,13,4,"0,33",0
CA-2015-101560,46,22,"0,49",0
CA-2015-101560,86,40,"0,47",0
CA-2015-101560,398,44,"0,11",0
CA-2015-101602,41,-9,"-0,23","0,2"
CA-2015-101602,763,-22,"-0,03","0,3"
CA-2015-101770,2,-1,"-0,7","0,7"
CA-2015-101833,34,17,"0,5",0
CA-2015-101931,6,0,"0,01",0
CA-2015-101931,7,2,"0,31","0,2"
CA-2015-101931,141,38,"0,27",0
CA-2015-101931,481,14,"0,03",0
CA-2015-101931,617,-36,"-0,06","0,15"
CA-2015-102008,49,24,"0,5",0
CA-2015-102085,29,14,"0,47",0
CA-2015-102274,5,1,"0,27",0
CA-2015-102274,37,10,"0,27",0
CA-2015-102274,194,10,"0,05",0
CA-2015-102274,629,302,"0,48",0
CA-2015-102295,121,-18,"-0,15","0,2"
CA-2015-102330,89,44,"0,5",0
CA-2015-102330,320,36,"0,11","0,2"
CA-2015-102645,40,19,"0,48",0
CA-2015-102652,19,9,"0,48",0
CA-2015-102652,33,13,"0,39",0
CA-2015-102652,55,27,"0,48",0
CA-2015-102652,92,16,"0,17",0
CA-2015-102673,8,1,"0,19","0,2"
CA-2015-102673,10,1,"0,09","0,2"
CA-2015-102673,48,16,"0,33","0,2"
CA-2015-102673,979,110,"0,11","0,2"
CA-2015-102869,16,5,"0,35","0,2"
CA-2015-102869,17,5,"0,29","0,2"
CA-2015-102869,65,-5,"-0,08","0,2"
CA-2015-102869,136,-32,"-0,23","0,4"
CA-2015-102988,13,6,"0,49",0
CA-2015-102988,23,8,"0,33",0
CA-2015-102988,23,7,"0,29",0
CA-2015-102988,29,8,"0,29",0
CA-2015-102988,4164,83,"0,02",0
CA-2015-103058,100,8,"0,08",0
CA-2015-103086,5,-2,"-0,3","0,6"
CA-2015-103100,4,2,"0,47",0
CA-2015-103100,1104,497,"0,45",0
CA-2015-103191,332,-83,"-0,25","0,2"
CA-2015-103219,57,21,"0,38",0
CA-2015-103310,40,19,"0,48",0
CA-2015-103310,41,11,"0,27",0
CA-2015-103310,257,32,"0,13","0,2"
CA-2015-103310,1432,125,"0,09","0,2"
CA-2015-103317,10,-7,"-0,7","0,7"
CA-2015-103317,20,5,"0,28","0,2"
CA-2015-103317,213,16,"0,08","0,2"
CA-2015-103331,3,2,"0,46",0
CA-2015-103331,11,4,"0,38",0
CA-2015-103331,17,8,"0,49",0
CA-2015-103366,150,66,"0,44",0
CA-2015-103373,780,-169,"-0,22","0,4"
CA-2015-103401,13,6,"0,48",0
CA-2015-103429,26,9,"0,35","0,2"
CA-2015-103429,40,18,"0,45",0
CA-2015-103429,236,78,"0,33",0
CA-2015-103429,464,135,"0,29",0
CA-2015-103492,1,-2,"-1,75","0,8"
CA-2015-103492,12,-19,"-1,6","0,8"
CA-2015-103492,720,72,"0,1","0,2"
CA-2015-103492,756,66,"0,09","0,2"
CA-2015-103527,11,3,"0,31","0,2"
CA-2015-103590,62,29,"0,47",0
CA-2015-103660,1008,76,"0,08","0,2"
CA-2015-103702,64,-47,"-0,73","0,7"
CA-2015-103744,4,-7,"-1,55","0,8"
CA-2015-103744,7,2,"0,34","0,2"
CA-2015-103800,16,6,"0,34","0,2"
CA-2015-103807,6,1,"0,14",0
CA-2015-103807,15,7,"0,47",0
CA-2015-103849,58,7,"0,13","0,2"
CA-2015-103849,66,-84,"-1,28","0,6"
CA-2015-103849,101,6,"0,06","0,2"
CA-2015-103940,30,1,"0,04",0
CA-2015-103940,35,13,"0,38",0
