order_id,order_date,ship_date,ship_mode,customer_id
CA-2015-100006,03.01.2015,06.01.2015,Standard Class,KA-CON-E-100
CA-2015-100090,04.01.2015,09.01.2015,Standard Class,BR-COR-W-101
CA-2015-100090,04.01.2015,09.01.2015,Standard Class,BR-COR-W-102
CA-2015-100293,04.01.2015,07.01.2015,Standard Class,FR-HOM-S-103
CA-2015-100328,05.01.2015,15.01.2015,Standard Class,CA-CON-E-104
CA-2015-100363,06.01.2015,11.01.2015,Standard Class,MI-COR-W-105
CA-2015-100363,06.01.2015,11.01.2015,Standard Class,MI-COR-W-106
CA-2015-100391,06.01.2015,09.01.2015,Standard Class,WE-CON-E-107
CA-2015-100678,06.01.2015,13.01.2015,Standard Class,MI-CON-C-108
CA-2015-100678,06.01.2015,13.01.2015,Standard Class,MI-CON-C-109
CA-2015-100678,06.01.2015,13.01.2015,Standard Class,MI-CON-C-110
CA-2015-100678,06.01.2015,13.01.2015,Standard Class,MI-CON-C-111
CA-2015-100706,06.01.2015,16.01.2015,Second Class,EL-CON-S-112
CA-2015-100706,06.01.2015,16.01.2015,Second Class,EL-CON-S-113
CA-2015-100762,07.01.2015,16.01.2015,Standard Class,GI-COR-C-114
CA-2015-100762,07.01.2015,16.01.2015,Standard Class,GI-COR-C-115
CA-2015-100762,09.01.2015,16.01.2015,Standard Class,GI-COR-C-116
CA-2015-100762,09.01.2015,16.01.2015,Standard Class,GI-COR-C-117
CA-2015-100860,10.01.2015,15.01.2015,Second Class,ST-CON-W-118
CA-2015-100867,10.01.2015,15.01.2015,Standard Class,HI-HOM-W-119
CA-2015-100881,11.01.2015,23.01.2015,Standard Class,RA-HOM-W-120
CA-2015-100895,13.01.2015,22.01.2015,Standard Class,VI-CON-S-121
CA-2015-100895,13.01.2015,22.01.2015,Standard Class,VI-CON-S-122
CA-2015-100895,13.01.2015,22.01.2015,Standard Class,VI-CON-S-123
CA-2015-100916,13.01.2015,18.01.2015,Standard Class,HA-COR-S-124
CA-2015-100916,13.01.2015,18.01.2015,Standard Class,HA-COR-S-125
CA-2015-100916,13.01.2015,18.01.2015,Standard Class,HA-COR-S-126
CA-2015-100972,13.01.2015,16.01.2015,Second Class,BO-HOM-W-127
CA-2015-101147,13.01.2015,19.01.2015,First Class,CO-CON-C-128
CA-2015-101175,13.01.2015,15.01.2015,Standard Class,ME-COR-W-129
CA-2015-101266,13.01.2015,14.01.2015,Second Class,MO-CON-S-130
CA-2015-101364,13.01.2015,21.01.2015,Standard Class,WI-HOM-E-131
CA-2015-101392,14.01.2015,24.01.2015,Standard Class,ST-HOM-W-132
CA-2015-101427,15.01.2015,18.01.2015,Standard Class,YO-COR-E-133
CA-2015-101462,16.01.2015,20.01.2015,Standard Class,PA-CON-W-134
CA-2015-101476,16.01.2015,19.01.2015,First Class,DA-HOM-E-135
CA-2015-101560,16.01.2015,28.01.2015,Second Class,SE-COR-S-136
CA-2015-101560,16.01.2015,28.01.2015,Second Class,SE-COR-S-137
CA-2015-101560,18.01.2015,28.01.2015,Second Class,SE-COR-S-138
CA-2015-101560,19.01.2015,28.01.2015,Second Class,SE-COR-S-139
CA-2015-101602,19.01.2015,31.01.2015,First Class,CR-CON-C-140
CA-2015-101602,19.01.2015,31.01.2015,First Class,CR-CON-C-141
CA-2015-101770,19.01.2015,25.01.2015,Standard Class,BE-COR-S-142
CA-2015-101833,20.01.2015,23.01.2015,Second Class,GA-HOM-E-143
CA-2015-101931,20.01.2015,23.01.2015,First Class,SU-COR-W-144
CA-2015-101931,20.01.2015,23.01.2015,First Class,SU-COR-W-145
CA-2015-101931,20.01.2015,23.01.2015,First Class,SU-COR-W-146
CA-2015-101931,20.01.2015,23.01.2015,First Class,SU-COR-W-147
CA-2015-101931,20.01.2015,23.01.2015,First Class,SU-COR-W-148
