order_id,product_id,product_name,category,sub_category,manufacturer,unit_price,quantity,shipping_price
CA-2015-100006,AT&T-1000,AT&T EL51110 DECT,Technology,Phones,AT&T,126,3,"10,09"
CA-2015-100090,Wilson-1001,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Office Supplies,Binders,Wilson Jones,"41,04",6,"10,99"
CA-2015-100090,Hon-1002,Hon 2111 Invitation Series Corner Table,Furniture,Tables,Hon,"209,17",3,"10,99"
CA-2015-100293,Xerox-1003,Xerox 1887,Office Supplies,Paper,Xerox,"18,96",6,"14,61"
CA-2015-100328,Pressboard-1004,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,Pressboard,5,1,"10,09"
CA-2015-100363,Binder-1005,Binder Clips by OIC,Office Supplies,Fasteners,OIC,"1,25",2,"10,53"
CA-2015-100363,Things-1006,Things To Do Today Spiral Book,Office Supplies,Paper,Things To Do,"7,92",3,"10,53"
CA-2015-100391,Strathmore-1007,Strathmore Photo Frame Cards,Office Supplies,Paper,Strathmore,"7,5",2,"10,09"
CA-2015-100678,Prang-1008,Prang Dustless Chalk Sticks,Office Supplies,Art,Prang,"1,88",2,"11,99"
CA-2015-100678,Cameo-1009,Cameo Buff Policy Envelopes,Office Supplies,Envelopes,Other,"62,08",3,"11,99"
CA-2015-100678,Kensington-1010,Kensington Expert Mouse Optical USB Trackball for PC or Mac,Technology,Accessories,Kensington,95,3,"11,99"
CA-2015-100678,DMI-1011,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,DMI,"150,95",3,"11,99"
CA-2015-100706,Ultra-1012,Ultra Door Push Plate,Furniture,Furnishings,Ultra,"4,83",6,"8,55"
CA-2015-100706,Case-1013,Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,Other,50,2,"8,55"
CA-2015-100762,Adams-1014,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Paper,Adams,8,2,"13,85"
CA-2015-100762,Xerox-1015,Xerox 1885,Office Supplies,Paper,Xerox,48,3,"13,85"
CA-2015-100762,Hunt-1016,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,Hunt,38,4,"13,85"
CA-2015-100762,Dot-1017,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Office Supplies,Labels,Other,"98,5",2,"13,85"
CA-2015-100860,Smead-1018,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Office Supplies,Labels,Smead,"3,8",5,"6,12"
CA-2015-100867,RCA-1019,RCA Visys Integrated PBX 8-Line Router,Technology,Phones,RCA,"67,08",6,"7,81"
